sample_id,collection_date,dilution,name,site_name,sewershed_pop,Influenza_A_num_wells,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_lci,Influenza_A_gc_g_dry_weight_uci,Influenza_A_gc_g_dry_weight_pmmov,Influenza_A_gc_g_dry_weight_pmmov_lci,Influenza_A_gc_g_dry_weight_pmmov_uci,Influenza_A_gc_g_dry_weight_trimmed5,Influenza_A_gc_g_dry_weight_trimmed5_pmmov
"61-220802","2022-08-02",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220804","2022-08-04",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220807","2022-08-07",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220809","2022-08-09",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220811","2022-08-11",1,"Harrisburg, PA","Capital Region Water AWTF",125000,4,0,0,0,0,0,0,0,0
"61-220814","2022-08-14",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220816","2022-08-16",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220818","2022-08-18",1,"Harrisburg, PA","Capital Region Water AWTF",125000,5,0,0,0,0,0,0,0,0
"61-220821","2022-08-21",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220823","2022-08-23",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220825","2022-08-25",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220828","2022-08-28",1,"Harrisburg, PA","Capital Region Water AWTF",125000,6,0,0,0,0,0,0,0,0
"61-220830","2022-08-30",1,"Harrisburg, PA","Capital Region Water AWTF",125000,3,0,0,0,0,0,0,0,0
