sample_id,collection_date,dilution,name,site_name,sewershed_pop,N_Gene_num_wells,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_lci,N_Gene_gc_g_dry_weight_uci,N_Gene_gc_g_dry_weight_pmmov,N_Gene_gc_g_dry_weight_pmmov_lci,N_Gene_gc_g_dry_weight_pmmov_uci,N_Gene_gc_g_dry_weight_trimmed5,N_Gene_gc_g_dry_weight_trimmed5_pmmov
"146-221212","2022-12-12",1,"Boston, MA","Deer Island Treatment Plant",2400000,5,338141.85359139787,308083.22043870966,362624.629883871,0.0012722252012914042,0.0011225549964291486,0.0014218954061536598,251251.05585185182,0.0012722252012914042
"146-221214","2022-12-14",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,245677.57711111105,224864.85377777775,266049.04066666664,0.001892489268427603,0.0014804376710743214,0.002304540865780885,294696.45472162485,0.0015193617452550134
"146-221216","2022-12-16",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,251251.05585185182,227133.5978765432,273706.9071111111,0.0012337292828029963,0.0009453328257403229,0.0015221257398656696,316064.3872450317,0.0016437375863125432
"146-221219","2022-12-19",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,358800.25229184545,327750.05729327607,393194.1958683834,0.0017664982892186226,0.001404924749103552,0.0021280718293336933,352374.72849655634,0.0019172629567009998
"146-221221","2022-12-21",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,447072.87734597165,399991.0038041074,494960.54986413906,0.002377719342569972,0.0015429680672694468,0.003212470617870497,449178.8203589323,0.0020601175146900733
"146-221223","2022-12-23",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,541663.33143898,522333.25283788703,560998.913165756,0.0020928013124567736,0.00183223320889474,0.002353369416018807,539735.250242262,0.0022638578658071896
"146-221226","2022-12-26",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,630469.5419418344,563384.5318299775,686332.7538255033,0.0023210529423948237,0.0019322793173066053,0.002709826567483042,539735.250242262,0.0022638578658071896
"146-221227","2022-12-27",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,734447.4850232558,708509.7203100775,767710.5572713178,0.005201670290921211,0.0033489690205133617,0.00705437156132906,635526.78613469,0.0030094107758522263
"146-221228","2022-12-28",1,"Boston, MA","Deer Island Treatment Plant",2400000,3,347547.07539823005,324125.68939233036,371701.1983480826,0.0015805088930592513,0.001429887631699322,0.0017311301544191806,629840.8322118628,0.003076786200388336
"146-230102","2023-01-02",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,948092.7336936938,906730.7479639639,988065.1525765766,0.004614378072705081,0.004276215955293708,0.004952540190116455,552707.2162144613,0.0028820659461588592
"146-230104","2023-01-04",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,524605.4696704982,497831.26424521074,550826.3832643678,0.0022949275860651027,0.001965977358548222,0.002623877813581983,492931.2395097396,0.0018707762196102488
"146-230106","2023-01-06",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,399068.6939496296,366465.0471822222,441415.6087466666,0.0017368921797063924,0.0014317608497320085,0.0020420235096807763,535951.6715445477,0.0020006650614778146
"146-230109","2023-01-09",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,555119.5549090909,535064.882230303,580351.5501898989,0.0012807908905455188,0.001164069329120822,0.0013975124519702157,483934.717891394,0.0016626194963046202
"146-230111","2023-01-11",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,528129.9900540541,498787.88850450446,557479.9615135135,0.001970175418661949,0.001801062101365959,0.002139288735957939,494106.07963759155,0.0016441532416234432
"146-230113","2023-01-13",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,274726.42688,260367.48252444444,289087.86346666666,0.001008213430706273,0.000927347066680406,0.0010890797947321399,562550.8645671249,0.0017219143212752954
"146-230116","2023-01-16",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,646515.9030816776,613685.3216070641,674544.2439205298,0.0019147766546184185,0.0017164047285920193,0.0021131485806448174,527052.8202051377,0.0016310551679955467
"146-230118","2023-01-18",1,"Boston, MA","Deer Island Treatment Plant",2400000,5,604403.0487382299,503578.0854839926,701236.4161205275,0.0021762826947035628,0.0016677618372508756,0.00268480355215625,476623.8572174227,0.001564488563523791
"146-230120","2023-01-20",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,448625.4218231292,419282.22552380944,471425.8933333332,0.0004038705965116008,0.0003140331502811181,0.0004937080427420836,476623.8572174227,0.0017560310684523464
"146-230123","2023-01-23",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,376843.10109090904,362368.4483062201,395983.2442488038,0.001770475605246681,0.0016264956171974274,0.0019144555932959345,412734.26145701914,0.0016766582753693104
"146-230125","2023-01-25",1,"Boston, MA","Deer Island Treatment Plant",2400000,5,317532.93672222225,289255.8839444445,340046.51177777787,0.0015828409454919398,0.00139239584172467,0.0017732860492592096,376843.10109090904,0.0015828409454919398
"88-220902","2022-09-02",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,63592.76627393939,56056.64108606061,71776.30337939392,0.000257411255644878,0.000188474297770358,0.00032634821351939803,124071.76681025639,0.0005464561204303819
"88-220905","2022-09-05",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,124071.76681025639,110588.08352820513,135440.3080205128,0.0005464561204303819,0.00045722700231158646,0.0006356852385491774,143418.01459212007,0.000560151275078167
"88-220906","2022-09-06",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,312145.97493333335,294983.94862222223,336466.4713777778,0.0011997220902266296,0.0010626905092877958,0.0013367536711654635,116809.59848605985,0.0004592379352670707
"88-220907","2022-09-07",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,4,162764.26237398374,140706.2561300813,183933.76975609755,0.0005738464297259521,0.00048056004617568523,0.000667132813276219,155556.83526936444,0.0005637183627018304
"88-220912","2022-09-12",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,62871.45614814815,55301.092288888896,70084.77493333335,0.0002244598477560857,0.000179173212345135,0.0002697464831670364,173649.6413389357,0.0005985566068583327
"88-220914","2022-09-14",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,179834.4766238532,166001.88271559632,193668.71544954128,0.0005708525379491575,0.0004982057934431736,0.0006434992824551414,173649.6413389357,0.0005985566068583327
"88-220916","2022-09-16",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,178350.18501897017,164819.77426558264,191155.78259078588,0.000650970852899888,0.0005660637425169727,0.0007358779632828034,190625.5371587189,0.0005620312883521942
